date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2019-06-17,185.01,189.50,184.4105,189.01,29459881,7.68,4.24%,189.01,5516612036.22,206432
2019-06-14,180.51,181.8398,180.00,181.33,16773691,3.86,2.18%,181.33,3035069004.55,134256
2019-06-13,175.53,178.03,174.606,177.47,12253569,2.43,1.39%,177.47,2167115557.09,90493
2019-06-12,178.38,179.27,172.88,175.04,17699806,-3.06,-1.72%,175.04,3103173511.74,129364
2019-06-11,178.48,179.98,176.79,178.10,15266644,3.28,1.88%,178.10,2722970119.62,119429
2019-06-10,174.75,177.86,173.80,174.82,14767918,1.47,0.85%,174.82,2595191837.71,115343
2019-06-07,170.17,173.87,168.84,173.35,16917343,5.02,2.98%,173.35,2916490637.91,120276
2019-06-06,168.30,169.70,167.23,168.33,12446354,0.16,0.10%,168.33,2097554317.73,98724
2019-06-05,167.48,168.72,164.63,168.17,19758317,0.67,0.40%,168.17,3300568034.34,152165
2019-06-04,163.71,168.28,160.84,167.50,46044256,3.35,2.04%,167.50,7574889323.55,317050
2019-06-03,175.00,175.05,161.01,164.15,56059609,-13.32,-7.51%,164.15,9306268451.00,420495
2019-05-31,180.28,180.54,177.16,177.47,15226536,-5.54,-3.03%,177.47,2714808231.91,118587
2019-05-30,183.08,183.48,180.89,183.01,8581544,0.82,0.45%,183.01,1564623702.37,78799
2019-05-29,183.50,184.56,181.35,182.19,12797685,-2.12,-1.15%,182.19,2337366974.40,109338
2019-05-28,181.54,184.7119,181.4537,184.31,14843308,3.25,1.79%,184.31,2729564808.04,93659
2019-05-24,182.33,183.63,180.83,181.06,8807701,0.19,0.11%,181.06,1604543739.98,68497
2019-05-23,182.42,183.90,179.67,180.87,12768835,-4.45,-2.40%,180.87,2315772744.92,111338
2019-05-22,184.73,186.74,183.61,185.32,9213801,0.50,0.27%,185.32,1710572395.34,66576
2019-05-21,184.57,185.70,183.885,184.82,7502820,2.10,1.15%,184.82,1386867346.13,66868
2019-05-20,181.88,184.23,181.37,182.72,10351981,-2.58,-1.39%,182.72,1892739249.50,87800
2019-05-17,184.84,187.58,184.28,185.30,10485370,-1.69,-0.90%,185.30,1949480851.89,83275
2019-05-16,185.05,188.575,185.05,186.99,12953111,0.72,0.39%,186.99,2424007978.25,96145
2019-05-15,180.42,187.28,180.02,186.27,16746904,5.54,3.07%,186.27,3102892297.33,133954
2019-05-14,182.52,183.49,178.10,180.73,17628142,-0.81,-0.45%,180.73,3187993370.32,140628
2019-05-13,183.50,185.43,180.84,181.54,16833347,-6.80,-3.61%,181.54,3077257082.20,144331
2019-05-10,188.25,190.00,184.59,188.34,12578508,-0.31,-0.16%,188.34,2353968389.41,109972
2019-05-09,187.20,189.77,186.26,188.65,12967033,-0.89,-0.47%,188.65,2439098388.62,102467
2019-05-08,189.39,190.72,188.55,189.54,12505737,-0.23,-0.12%,189.54,2372208824.50,94503
2019-05-07,192.54,192.90,187.85,189.77,16253001,-4.11,-2.12%,189.77,3086078856.06,123811
2019-05-06,191.24,194.28,190.55,193.88,13994932,-1.59,-0.81%,193.88,2701975084.81,106493
2019-05-03,194.38,196.16,193.71,195.47,14575434,2.94,1.53%,195.47,2847029055.55,107783
2019-05-02,193.00,194.00,189.75,192.53,13209452,-0.50,-0.26%,192.53,2535825065.54,104855
2019-05-01,194.78,196.1769,193.01,193.03,15996646,-0.37,-0.19%,193.03,3112861473.60,109406
2019-04-30,194.19,197.39,192.28,193.40,23494689,-1.38,-0.71%,193.40,4572987283.25,150586
2019-04-29,190.95,195.41,190.65,194.78,19641310,3.29,1.72%,194.78,3810677372.84,138800
2019-04-26,192.50,192.90,189.09,191.49,22075002,-1.77,-0.92%,191.49,4220407292.69,162107
2019-04-25,196.98,198.48,192.12,193.26,54148789,10.68,5.85%,193.26,10536601779.53,352319
2019-04-24,184.49,185.14,181.65,182.58,37289871,-1.20,-0.65%,182.58,6825543954.22,270000
2019-04-23,182.74,184.22,181.48,183.78,19954814,2.34,1.29%,183.78,3653229408.89,141264
2019-04-22,178.25,181.665,178.25,181.44,13389889,3.16,1.77%,181.44,2416460493.88,93790
2019-04-18,178.80,178.88,177.34,178.28,11655608,-0.50,-0.28%,178.28,2076247429.14,73068
2019-04-17,179.60,180.74,178.36,178.78,9973732,-0.09,-0.05%,178.78,1787143377.87,69225
2019-04-16,179.00,180.17,178.30,178.87,11215193,-0.78,-0.43%,178.87,2011892182.52,82694
